company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
"Amazon Web Services, Inc.",Denver, CO,Data Scientist - AWS Professional Services,#N/A,10000+,1,0,0,0,1,0,1,0,0,1,0,0,1,0
Garmin,Olathe, KS,Data Science/Java Developer,Consumer Products Manufacturing,10000+,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Coyote Logistics,Chicago, IL,Data Scientist,Logistics & Supply Chain,1001-5000,1,0,0,1,0,0,1,0,0,0,0,1,1,0
Johnson & Johnson,Spring House, PA,"Scientist, Data Sciences",Biotech & Pharmaceuticals,10000+,1,1,1,0,1,0,1,1,0,0,1,0,1,0
Dignity Health,San Francisco, CA,Senior Data Science Analyst,Health Care Services & Hospitals,10000+,0,1,1,1,0,1,0,0,0,0,1,1,1,1
Enterprise Solutions Inc,New Albany, OH,Data Science Engineer,Computer Hardware & Software,51-200,1,1,1,1,1,0,1,0,0,0,1,0,0,0
Health Catalyst,Salt Lake City, UT,Data Scientist - CAFE,Enterprise Software & Network Solutions,501-1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Color Genomics,Burlingame, CA,Head of Data Science,Computer Hardware & Software,51-200,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Mathematica Policy Research,Princeton, NJ,Senior Data Science Lead,Consulting,1001-5000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Mathematica Policy Research,Ann Arbor, MI,Senior Data Science Lead,Consulting,1001-5000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Uptake,Chicago, IL,Data Scientist,Computer Hardware & Software,501-1000,0,1,0,0,1,0,1,0,0,0,1,0,1,0
The Medicines Company,Nashville, TN,"Director, Global Health Science-Infectious Disease",Biotech & Pharmaceuticals,201-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honeywell,Golden Valley, MN,Data Scientist,Computer Hardware & Software,10000+,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Coca-Cola Company,Atlanta, GA,Data Scientist,Food & Beverage Manufacturing,10000+,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Avanade,Hartford, CT,Data Scientist,IT Services,10000+,1,1,1,1,0,0,0,0,1,0,1,0,1,0
Adobe,San Jose, CA,Data Scientist,Computer Hardware & Software,10000+,1,1,0,1,1,0,1,0,0,0,0,1,1,1
Leidos,Washington, DC,Data Science Analyst,Aerospace & Defense,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western & Southern Financial Group,Cincinnati, OH,Data Science Statistician,Insurance Carriers,1001-5000,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Amway,Ada, MI,Intern- Data Science/Data Analyst,Consumer Products Manufacturing,5001-10000,1,1,0,1,0,1,0,0,0,0,1,0,0,0
Franklin Energy,Chicago, IL,Data Analyst,Energy,501-1000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
